MediumMagboltz::LoadGasFile: Reading Ar-iC4H10(90-10).gas.
MediumMagboltz::LoadGasFile: Version 12
MediumMagboltz::LoadGasFile:
    Gas composition set to Ar/iC4H10 (90/10)
E = 250V/cm,  Vx = -4.25671cm/us, to drift 20cm, t = -4.69846us, 0,1V/cm fluctuation, dt = 0.589648ns, 1V/cm fluctuation, dt = 5.86354ns, %1 fluctuation, dt = 14.5223ns, %10 fluctuation, dt = 116.502ns
E = 260V/cm,  Vx = -4.30648cm/us, to drift 20cm, t = -4.64416us, 0,1V/cm fluctuation, dt = 0.460624ns, 1V/cm fluctuation, dt = 4.57549ns, %1 fluctuation, dt = 11.7548ns, %10 fluctuation, dt = 104.18ns
E = 270V/cm,  Vx = -4.34648cm/us, to drift 20cm, t = -4.60143us, 0,1V/cm fluctuation, dt = 0.393961ns, 1V/cm fluctuation, dt = 3.91042ns, %1 fluctuation, dt = 10.4099ns, %10 fluctuation, dt = 98.6489ns
E = 280V/cm,  Vx = -4.38372cm/us, to drift 20cm, t = -4.56233us, 0,1V/cm fluctuation, dt = 0.383174ns, 1V/cm fluctuation, dt = 3.81547ns, %1 fluctuation, dt = 10.5926ns, %10 fluctuation, dt = 90.8103ns
E = 290V/cm,  Vx = -4.41912cm/us, to drift 20cm, t = -4.52579us, 0,1V/cm fluctuation, dt = 0.345474ns, 1V/cm fluctuation, dt = 3.43268ns, %1 fluctuation, dt = 9.82027ns, %10 fluctuation, dt = 78.5373ns
E = 300V/cm,  Vx = -4.45074cm/us, to drift 20cm, t = -4.49364us, 0,1V/cm fluctuation, dt = 0.297394ns, 1V/cm fluctuation, dt = 2.95276ns, %1 fluctuation, dt = 8.71758ns, %10 fluctuation, dt = 69.527ns
E = 310V/cm,  Vx = -4.47742cm/us, to drift 20cm, t = -4.46686us, 0,1V/cm fluctuation, dt = 0.230263ns, 1V/cm fluctuation, dt = 2.29003ns, %1 fluctuation, dt = 7.00826ns, %10 fluctuation, dt = 65.0611ns
E = 320V/cm,  Vx = -4.49923cm/us, to drift 20cm, t = -4.44521us, 0,1V/cm fluctuation, dt = 0.202642ns, 1V/cm fluctuation, dt = 2.01417ns, %1 fluctuation, dt = 6.34977ns, %10 fluctuation, dt = 56.9358ns
E = 330V/cm,  Vx = -4.52068cm/us, to drift 20cm, t = -4.42411us, 0,1V/cm fluctuation, dt = 0.222274ns, 1V/cm fluctuation, dt = 2.20652ns, %1 fluctuation, dt = 7.14512ns, %10 fluctuation, dt = 43.2369ns
E = 340V/cm,  Vx = -4.54169cm/us, to drift 20cm, t = -4.40365us, 0,1V/cm fluctuation, dt = 0.186689ns, 1V/cm fluctuation, dt = 1.8511ns, %1 fluctuation, dt = 6.15095ns, %10 fluctuation, dt = 32.4249ns
E = 350V/cm,  Vx = -4.55583cm/us, to drift 20cm, t = -4.38998us, 0,1V/cm fluctuation, dt = 0.0881246ns, 1V/cm fluctuation, dt = 0.868599ns, %1 fluctuation, dt = 2.9173ns, %10 fluctuation, dt = 28.2318ns
E = 360V/cm,  Vx = -4.56355cm/us, to drift 20cm, t = -4.38256us, 0,1V/cm fluctuation, dt = 0.0601599ns, 1V/cm fluctuation, dt = 0.589077ns, %1 fluctuation, dt = 1.99057ns, %10 fluctuation, dt = 24.4245ns
E = 370V/cm,  Vx = -4.57133cm/us, to drift 20cm, t = -4.3751us, 0,1V/cm fluctuation, dt = 0.0996188ns, 1V/cm fluctuation, dt = 0.989733ns, %1 fluctuation, dt = 3.59047ns, %10 fluctuation, dt = 17.5959ns
E = 380V/cm,  Vx = -4.58102cm/us, to drift 20cm, t = -4.36584us, 0,1V/cm fluctuation, dt = 0.0853596ns, 1V/cm fluctuation, dt = 0.847221ns, %1 fluctuation, dt = 3.14417ns, %10 fluctuation, dt = 10.3045ns
E = 390V/cm,  Vx = -4.58796cm/us, to drift 20cm, t = -4.35923us, 0,1V/cm fluctuation, dt = 0.0227572ns, 1V/cm fluctuation, dt = 0.220864ns, %1 fluctuation, dt = 0.7771ns, %10 fluctuation, dt = 6.25853ns
E = 400V/cm,  Vx = -4.58958cm/us, to drift 20cm, t = -4.35769us, 0,1V/cm fluctuation, dt = 0.00786674ns, 1V/cm fluctuation, dt = 0.0719728ns, %1 fluctuation, dt = 0.19864ns, %10 fluctuation, dt = 5.28221ns
E = 450V/cm,  Vx = -4.59307cm/us, to drift 20cm, t = -4.35439us, 0,1V/cm fluctuation, dt = -0.0256259ns, 1V/cm fluctuation, dt = -0.26148ns, %1 fluctuation, dt = -1.26808ns, %10 fluctuation, dt = -17.1006ns
E = 500V/cm,  Vx = -4.57172cm/us, to drift 20cm, t = -4.37472us, 0,1V/cm fluctuation, dt = -0.0671564ns, 1V/cm fluctuation, dt = -0.675973ns, %1 fluctuation, dt = -3.478ns, %10 fluctuation, dt = -43.2836ns
E = 550V/cm,  Vx = -4.52693cm/us, to drift 20cm, t = -4.41801us, 0,1V/cm fluctuation, dt = -0.0903021ns, 1V/cm fluctuation, dt = -0.904584ns, %1 fluctuation, dt = -5.01829ns, %10 fluctuation, dt = -57.0036ns
E = 600V/cm,  Vx = -4.47517cm/us, to drift 20cm, t = -4.4691us, 0,1V/cm fluctuation, dt = -0.11712ns, 1V/cm fluctuation, dt = -1.17315ns, %1 fluctuation, dt = -7.10427ns, %10 fluctuation, dt = -74.2048ns
E = 650V/cm,  Vx = -4.41415cm/us, to drift 20cm, t = -4.53088us, 0,1V/cm fluctuation, dt = -0.126793ns, 1V/cm fluctuation, dt = -1.26843ns, %1 fluctuation, dt = -8.11853ns, %10 fluctuation, dt = -82.3527ns
E = 700V/cm,  Vx = -4.35395cm/us, to drift 20cm, t = -4.59353us, 0,1V/cm fluctuation, dt = -0.130767ns, 1V/cm fluctuation, dt = -1.30803ns, %1 fluctuation, dt = -9.17314ns, %10 fluctuation, dt = -91.7975ns
E = 750V/cm,  Vx = -4.29253cm/us, to drift 20cm, t = -4.65926us, 0,1V/cm fluctuation, dt = -0.13019ns, 1V/cm fluctuation, dt = -1.30196ns, %1 fluctuation, dt = -9.76842ns, %10 fluctuation, dt = -99.3141ns
